"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.93,3.27,0.93,0,0
"Frequently",0,9.81,7.94,5.61,4.67,14.02
"Never",0,0,1.87,0.47,0.93,1.4
"Occasionally",0,9.81,7.01,0.93,3.27,9.81
"Rarely",0.47,4.67,3.74,0.47,3.74,3.74
