"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0,0,0,0,0
"Not at all",0,0,2.8,0.93,0,0
"Somewhat",0.47,6.54,10.28,2.34,5.14,12.62
"To a great extent",0,18.69,5.14,3.27,7.01,14.02
"Very little",0,0,5.61,1.87,0.47,2.34
