"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"To a great extent",27.27,47.62,40,72.13,100,0
"Somewhat",43.94,42.86,36,27.87,0,50
"Very little",18.18,9.52,16,0,0,0
"Not at all",10.61,0,8,0,0,0
"NA",0,0,0,0,0,50
