"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,0,0,0,3.23
"No",50,7.41,43.14,16.67,18.52,4.84
"Yes",50,92.59,56.86,83.33,81.48,91.94
