"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,3.92,11.11,0,0
"Always",50,9.26,5.88,22.22,14.81,27.42
"Most of the time",0,33.33,15.69,16.67,29.63,40.32
"Never",50,5.56,25.49,16.67,7.41,1.61
"Rarely",0,20.37,25.49,22.22,25.93,8.06
"Some of the time",0,31.48,23.53,11.11,22.22,22.58
