"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,0,0,3.7,0
"Not at all",50,9.26,33.33,27.78,14.81,6.45
"Somewhat",50,48.15,25.49,33.33,40.74,38.71
"To a great extent",0,27.78,9.8,33.33,18.52,51.61
"Very little",0,14.81,31.37,5.56,22.22,3.23
