"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,3.7,13.73,16.67,3.7,1.61
"Frequently",0,37.04,19.61,11.11,11.11,29.03
"Never",0,3.7,11.76,11.11,3.7,4.84
"Occasionally",0,44.44,29.41,27.78,44.44,27.42
"Rarely",50,11.11,25.49,33.33,37.04,37.1
