"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.47,2.34,1.4,0,0
"Frequently",0,9.35,5.14,1.4,5.14,11.21
"Never",0,0.47,1.87,0.47,0,0.93
"Occasionally",0,10.75,7.94,4.21,4.21,10.28
"Rarely",0.47,4.21,6.54,0.93,3.27,6.54
