"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"18-34 years old",0,7.01,3.27,1.4,1.4,6.54
"35-54 years old",0.47,13.08,16.36,5.14,9.81,17.76
"55+ years old",0.47,5.14,4.21,1.87,1.4,4.67
