"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,1.85,7.84,0,0,0
"Asian",0,33.33,9.8,5.56,3.7,20.97
"Black or African American",0,1.85,0,0,0,3.23
"Hispanic",0,1.85,1.96,0,7.41,4.84
"Hispanic,Other",0,0,0,0,0,1.61
"Hispanic,White",0,1.85,0,0,0,1.61
"Other",0,1.85,9.8,0,3.7,8.06
"Other,Prefer not to say",0,0,1.96,0,0,0
"Prefer not to say",0,3.7,1.96,5.56,7.41,1.61
"White",100,53.7,64.71,88.89,74.07,58.06
"White,Other",0,0,1.96,0,3.7,0
