"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,8.41,17.76,4.21,4.67,11.68
"Always",0,0.47,0,0,0,0.47
"Most of the time",0,0.93,0,0,0,0.93
"Never",0,6.07,3.74,1.87,3.74,6.54
"Rarely",0,5.61,1.87,0.93,2.8,5.14
"Some of the time",0,3.74,0.47,1.4,1.4,4.21
