"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",100,46.3,78.43,94.44,37.04,33.87
"Did not attempt",0,1.85,7.84,0,7.41,3.23
"No",0,11.11,3.92,5.56,3.7,19.35
"Yes, all",0,9.26,3.92,0,18.52,12.9
"Yes, some",0,31.48,5.88,0,33.33,30.65
