"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Always",6.06,30.16,28,16.39,0,50
"Most of the time",10.61,26.98,12,22.95,0,0
"Some of the time",9.09,17.46,20,21.31,0,0
"Rarely",19.7,11.11,16,19.67,100,0
"Never",54.55,14.29,24,19.67,0,50
"NA",0,0,0,0,0,0
