"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"Not at all",0.93,8.41,17.76,4.21,4.67,11.68
"Somewhat",0,6.54,2.34,0.93,3.27,7.01
"To a great extent",0,2.34,0,1.4,1.4,1.4
"Very little",0,7.94,3.74,1.87,3.27,8.88
