"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Always",6.06,28.57,20,9.84,0,50
"Most of the time",15.15,41.27,24,34.43,0,0
"Some of the time",24.24,20.63,20,27.87,0,0
"Rarely",27.27,7.94,16,22.95,100,0
"Never",27.27,1.59,20,4.92,0,50
"NA",0,0,0,0,0,0
