"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",100,46.3,78.43,94.44,37.04,33.87
"Did not attempt",0,7.41,5.88,0,3.7,12.9
"No",0,11.11,5.88,0,14.81,16.13
"Yes, all",0,9.26,1.96,5.56,11.11,8.06
"Yes, some",0,25.93,7.84,0,33.33,29.03
