"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"Not at all",0,0,0.93,0.93,0,0
"Somewhat",0.93,10.75,10.28,1.4,5.61,7.48
"To a great extent",0,14.02,6.54,4.21,6.07,19.63
"Very little",0,0.47,6.07,1.87,0.93,1.87
