"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Always",1.52,7.94,4,9.84,0,50
"Most of the time",3.03,22.22,4,21.31,0,0
"Some of the time",7.58,33.33,20,31.15,0,0
"Rarely",18.18,15.87,28,16.39,100,0
"Never",68.18,20.63,36,21.31,0,50
"NA",1.52,0,8,0,0,0
