"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,5.88,16.67,3.7,4.84
"No",100,27.78,54.9,50,40.74,25.81
"Yes",0,72.22,39.22,33.33,55.56,69.35
