"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.93,3.27,1.4,0,0.47
"Frequently",0,6.54,1.87,0.93,1.87,6.07
"Never",0,0.47,3.74,0.47,0.93,1.87
"Occasionally",0,11.21,7.94,1.4,4.21,9.81
"Rarely",0.47,6.07,7.01,4.21,5.61,10.75
