"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,11.68,18.69,7.94,4.67,10.28
"Did not attempt",0,3.74,2.34,0,2.34,4.67
"No",0,4.21,0,0,0.93,3.74
"Yes, all",0,2.34,0.93,0.47,2.8,5.61
"Yes, some",0,3.27,1.87,0,1.87,4.67
