"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,1.85,19.61,0,11.11,1.61
"Agree",100,59.26,33.33,66.67,51.85,53.23
"Disagree",0,7.41,29.41,22.22,18.52,4.84
"Strongly agree",0,31.48,9.8,5.56,18.52,38.71
"Strongly disagree",0,0,7.84,5.56,0,1.61
