"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.93,0.93,0.93,0,0
"Frequently",0,8.88,6.07,0.47,4.67,10.75
"Never",0,0.47,1.87,0,0,1.87
"Occasionally",0.47,10.75,7.94,3.74,5.61,13.55
"Rarely",0,4.21,7.01,3.27,2.34,2.8
