"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,3.7,0,16.67,0,4.84
"Agree",50,42.59,23.53,27.78,40.74,51.61
"Disagree",50,27.78,47.06,44.44,37.04,17.74
"Strongly agree",0,9.26,5.88,5.56,14.81,22.58
"Strongly disagree",0,16.67,23.53,5.56,7.41,3.23
