"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,3.92,0,0,1.61
"No",100,9.26,54.9,44.44,25.93,14.52
"Yes",0,90.74,41.18,55.56,74.07,83.87
