"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,7.41,3.92,0,7.41,8.06
"Agree",50,37.04,1.96,11.11,18.52,37.1
"Disagree",50,48.15,50.98,50,66.67,41.94
"Strongly agree",0,0,1.96,0,0,6.45
"Strongly disagree",0,7.41,41.18,38.89,7.41,6.45
