"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,0,0,0,3.23
"No",100,44.44,78.43,88.89,37.04,30.65
"Yes",0,55.56,21.57,11.11,62.96,66.13
