"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0.47,1.87,0,0,0
"Female",0.47,4.67,9.35,4.21,3.74,8.88
"Male",0.47,20.09,12.15,4.21,8.88,20.09
"Prefer not to say",0,0,0.47,0,0,0
