"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,12.15,19.63,7.94,5.61,10.75
"All",0,0,0,0,0.47,1.4
"None",0,5.61,2.34,0.47,3.27,7.48
"Some",0,7.48,1.87,0,3.27,9.35
