"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,24.77,22.43,8.41,12.15,27.1
"African",0,0,0,0,0.47,0.47
"Caribbean",0,0,0,0,0,0.47
"european",0,0,0,0,0,0.47
"I'm from and live in Chile",0,0,0,0,0,0.47
"Middle Eastern",0,0,0.47,0,0,0
"Swedish",0,0,0.47,0,0,0
"Why is this relevant???",0,0.47,0,0,0,0
"WTF..! what planet are you from? where have you been the past 25 years? cant be serious asking about race in an academic survey in the 21st century ",0,0,0.47,0,0,0
