"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,5.56,15.69,16.67,0,0
"Frequently",0,22.22,15.69,16.67,14.81,29.03
"Never",0,1.85,5.88,5.56,0,6.45
"Occasionally",0,42.59,41.18,44.44,59.26,37.1
"Rarely",50,27.78,21.57,16.67,25.93,27.42
