"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"Not at all",0,1.85,5.88,5.56,0,3.23
"Somewhat",0,31.48,33.33,44.44,40.74,33.87
"To a great extent",50,57.41,47.06,44.44,55.56,59.68
"Very little",50,9.26,13.73,5.56,3.7,3.23
