"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0.47,0,0.93,0.47,1.87
"No",0.93,4.67,17.76,4.67,6.07,8.41
"Yes",0,20.09,6.07,2.8,6.07,18.69
