"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.93,2.34,1.4,0,0
"Frequently",0,11.21,7.48,1.87,4.21,10.75
"Never",0,0.47,1.4,0.47,0,0.47
"Occasionally",0,8.41,7.48,2.8,6.07,11.21
"Rarely",0.47,4.21,5.14,1.87,2.34,6.54
