"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,11.68,19.16,7.94,5.14,10.28
"All",0,3.27,0.93,0,1.87,5.14
"None",0,0.93,0.47,0.47,1.4,1.87
"Some",0,9.35,3.27,0,4.21,11.68
