"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Under 18",0,0,0,0,0,0
"18-34 years old",13.64,22.22,20,26.23,0,0
"35-54 years old",69.7,61.9,60,55.74,100,50
"55+ years old",16.67,15.87,20,18.03,0,50
"NA",0,0,0,0,0,0
