"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"No",0.93,0.47,0.47,0.47,1.87,0.93
"Unsure",0,0.47,1.4,0.93,1.87,0.47
"Yes",0,24.3,21.96,7.01,8.88,27.57
