"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,1.4,7.01,2.34,0.93,0.47
"Always",0.47,2.8,0.47,2.8,3.27,8.88
"Most of the time",0,6.54,2.34,0.93,1.87,7.48
"Never",0,3.27,7.01,0.47,1.87,3.74
"Rarely",0,5.14,4.67,0.93,2.8,2.8
"Some of the time",0,6.07,2.34,0.93,1.87,5.61
