"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,11.68,18.69,7.94,4.67,9.81
"Did not attempt",0,0.47,0.93,0,0.47,0
"No",0,2.34,0.93,0,0.93,2.34
"Yes, all",0,1.87,0.93,0.47,2.8,6.54
"Yes, some",0,8.88,2.34,0,3.74,10.28
