"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.93,1.4,0.93,0,0.47
"Frequently",0,9.35,5.14,0.93,1.87,10.75
"Never",0,0.93,0.93,0,0.47,0.47
"Occasionally",0,11.21,7.94,4.67,7.94,12.62
"Rarely",0.47,2.8,8.41,1.87,2.34,4.67
