"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.93,0,0,0,0,0
"Geographic methods, GIS, spatial statistics",0,25.23,0,0,0,0
"Human geography",0,0,23.83,0,0,0
"Nature and society",0,0,0,8.41,0,0
"Other (specify)",0,0,0,0,12.62,0
"Physical geography, earth and environmental sciences",0,0,0,0,0,28.97
