"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,0,25.49,22.22,0,4.84
"Always",0,12.96,5.88,22.22,22.22,24.19
"Most of the time",0,33.33,7.84,11.11,22.22,37.1
"Never",0,0,13.73,5.56,3.7,0
"Rarely",50,7.41,25.49,27.78,11.11,8.06
"Some of the time",0,46.3,21.57,11.11,40.74,25.81
