"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Quantitative",19.7,50.79,24,63.93,100,50
"Qualitative",45.45,1.59,36,0,0,0
"Mixed Methods",34.85,47.62,40,36.07,0,0
"NA",0,0,0,0,0,50
