"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Always",7.58,25.4,20,14.75,0,0
"Most of the time",13.64,36.51,12,34.43,0,0
"Some of the time",22.73,25.4,24,44.26,0,0
"Rarely",22.73,7.94,24,6.56,0,50
"Never",33.33,3.17,20,0,100,50
"NA",0,1.59,0,0,0,0
