"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,2.34,7.94,2.34,2.8,1.87
"Always",0,3.27,0.47,1.87,0.93,9.81
"Most of the time",0,7.48,3.27,1.4,2.8,8.41
"Never",0,1.87,4.67,0.47,0.93,0.93
"Rarely",0.47,3.27,4.21,0.93,3.74,1.87
"Some of the time",0,7.01,3.27,1.4,1.4,6.07
