"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,3.7,3.92,11.11,0,3.23
"Frequently",0,5.56,5.88,0,11.11,11.29
"Never",0,9.26,11.76,5.56,3.7,14.52
"Occasionally",0,29.63,9.8,5.56,40.74,20.97
"Rarely",50,51.85,68.63,77.78,44.44,50
