"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"1 person",16.67,1.59,4,4.92,0,50
"2 - 5 people",34.85,49.21,48,22.95,0,50
"6 - 10 people",21.21,26.98,24,40.98,100,0
"11 - 15 people",4.55,9.52,8,11.48,0,0
"16+ people",9.09,11.11,12,16.39,0,0
"NA",13.64,1.59,4,3.28,0,0
