"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"To a great extent",3.03,4.76,12,9.84,0,0
"Somewhat",13.64,23.81,20,27.87,0,0
"Very little",16.67,31.75,20,29.51,100,0
"Not at all",66.67,39.68,48,32.79,0,100
"NA",0,0,0,0,0,0
