"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.93,12.15,3.74,1.4,4.67
"Always",0,1.87,0.47,0.47,1.87,1.87
"Most of the time",0,6.54,1.4,0,0.93,3.27
"Never",0.47,3.27,3.74,1.87,2.34,2.8
"Rarely",0,4.21,5.14,0,3.27,7.48
"Some of the time",0,8.41,0.93,2.34,2.8,8.88
