"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,4.21,1.87,0,1.87,5.61
"Agree",0,2.8,8.88,2.34,2.34,2.8
"Disagree",0.47,10.75,6.54,2.8,4.21,11.21
"Strongly agree",0.47,0.47,4.21,1.87,0.93,0.93
"Strongly disagree",0,7.01,2.34,1.4,3.27,8.41
