"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Yes",89.39,92.06,80,95.08,100,0
"No",4.55,4.76,4,3.28,0,100
"Unsure",6.06,3.17,16,1.64,0,0
"NA",0,0,0,0,0,0
