"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,2.8,2.8,0.47,1.87,3.74
"Agree",0.47,10.75,9.35,2.8,3.27,7.48
"Disagree",0.47,10.75,6.07,3.27,6.07,10.28
"Strongly agree",0,0,4.21,1.4,0.93,2.34
"Strongly disagree",0,0.93,1.4,0.47,0.47,5.14
