"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"0",5.56,3.7,0,0,0,0
"0.1",0,0,0,1.92,0,0
"1",0,0,0,1.92,0,0
"5",0,1.85,0,0,0,0
"10",3.7,1.85,5.26,7.69,0,0
"15",1.85,0,5.26,3.85,0,0
"20",7.41,0,5.26,13.46,0,0
"25",1.85,1.85,5.26,3.85,0,0
"30",5.56,7.41,5.26,5.77,0,0
"40",3.7,7.41,5.26,7.69,0,0
"50",37.04,25.93,26.32,19.23,0,0
"60",9.26,16.67,15.79,5.77,0,0
"65",1.85,0,0,0,0,0
"70",11.11,11.11,10.53,3.85,100,0
"75",3.7,3.7,0,5.77,0,0
"80",7.41,11.11,15.79,5.77,0,0
"90",0,3.7,0,5.77,0,0
"99",0,0,0,1.92,0,0
"100",0,3.7,0,5.77,0,100
