"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",100,16.67,66.67,66.67,29.63,25.81
"Always",0,12.96,1.96,0,11.11,3.23
"Most of the time",0,14.81,3.92,0,3.7,11.29
"Never",0,12.96,23.53,16.67,33.33,22.58
"Rarely",0,16.67,1.96,11.11,14.81,17.74
"Some of the time",0,25.93,1.96,5.56,7.41,19.35
