"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,0,0,0,0,0
"Mixed Methods",0,33.33,31.37,33.33,51.85,46.77
"Qualitative",0,0,54.9,44.44,3.7,1.61
"Quantitative",50,66.67,13.73,22.22,44.44,51.61
