"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,1.85,9.8,16.67,0,1.61
"Frequently",0,46.3,27.45,22.22,51.85,35.48
"Never",0,3.7,9.8,5.56,0,3.23
"Occasionally",0,40.74,25.49,33.33,37.04,40.32
"Rarely",50,7.41,27.45,22.22,11.11,19.35
