"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",50,7.41,7.84,16.67,0,4.84
"Frequently",0,22.22,43.14,38.89,22.22,11.29
"Never",0,1.85,1.96,5.56,3.7,8.06
"Occasionally",0,46.3,31.37,27.78,51.85,41.94
"Rarely",50,22.22,15.69,11.11,22.22,33.87
