"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"To a great extent",27.27,68.25,56,54.1,0,0
"Somewhat",43.94,26.98,20,44.26,100,100
"Very little",24.24,4.76,16,1.64,0,0
"Not at all",4.55,0,8,0,0,0
"NA",0,0,0,0,0,0
