"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,11.76,11.11,0,0
"Always",0,20.37,1.96,0,14.81,20.97
"Most of the time",0,35.19,7.84,27.78,33.33,24.19
"Never",50,0,13.73,11.11,0,3.23
"Rarely",50,9.26,33.33,27.78,25.93,17.74
"Some of the time",0,35.19,31.37,22.22,25.93,33.87
