"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,3.7,5.88,0,3.7,0
"Agree",100,51.85,35.29,38.89,48.15,50
"Disagree",0,16.67,31.37,33.33,11.11,9.68
"Strongly agree",0,24.07,3.92,5.56,25.93,37.1
"Strongly disagree",0,3.7,23.53,22.22,11.11,3.23
