"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",100,98.15,98.04,94.44,92.59,98.39
"Government scientist (applied)",0,0,0,5.56,0,0
"Lecturer/teacher at a university of applied sciences.",0,0,1.96,0,0,0
"Project Scientist",0,0,0,0,3.7,0
"Researcher (policy)",0,0,0,0,0,1.61
"Senior Consultant and external lecturer",0,0,0,0,3.7,0
"Senior Research Fellow",0,1.85,0,0,0,0
