"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0.47,0.47,1.87,1.4,0,0
"Frequently",0,10.75,8.41,1.87,5.61,12.15
"Never",0,1.4,1.87,0,0.47,0.93
"Occasionally",0,9.35,6.07,3.27,5.61,13.55
"Rarely",0.47,3.27,5.61,1.87,0.93,2.34
