"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"Not at all",0.47,0.93,12.15,3.27,1.4,4.67
"Somewhat",0,11.21,4.21,1.87,3.27,11.21
"To a great extent",0,10.28,3.74,2.34,4.21,7.48
"Very little",0.47,2.8,3.74,0.93,3.74,5.61
