"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,0.93,1.87,0.47,0
"Always",0.47,1.87,0.47,0.47,0.93,2.34
"Most of the time",0,5.14,0.47,0.47,1.4,6.54
"Never",0.47,5.61,16.36,2.8,3.74,5.61
"Rarely",0,4.21,3.74,0.93,4.67,4.67
"Some of the time",0,8.41,1.87,1.87,1.4,9.81
